Residual 	 Iterations
5.136208665780203e-08 	 459
7.709968228117592e-08 	 432
7.424190819742125e-08 	 358
8.927544311434762e-08 	 449
7.273449623510733e-08 	 431
9.303672624828625e-08 	 293
8.539149104589485e-08 	 391
5.562126452993896e-08 	 417
7.469007242276406e-08 	 185
7.736592214760313e-08 	 405
8.241912018220586e-08 	 396
7.790617500346792e-08 	 478
8.047157367512149e-08 	 357
9.24332891909448e-08 	 351
8.62378967803868e-08 	 286
6.727171709876656e-08 	 175
9.229219075909285e-08 	 353
7.529925587264925e-08 	 234
6.814619995476822e-08 	 360
6.220178475619706e-08 	 405
6.706860536274276e-08 	 199
6.530663190150045e-08 	 491
9.099732012328692e-08 	 388
6.960463091675042e-08 	 207
6.282512129940104e-08 	 320
7.435770661672735e-08 	 464
7.219427139109606e-08 	 397
6.943320354217084e-08 	 462
6.352197161299079e-08 	 403
6.389955989971386e-08 	 421
5.9011427528911465e-08 	 326
5.0021847811201565e-08 	 257
6.478457308691981e-08 	 427
7.212948337969729e-08 	 441
4.4753739974046614e-08 	 265
5.5947454937449456e-08 	 201
6.5551217077873e-08 	 367
4.8933623873858853e-08 	 398
5.4866094469203254e-08 	 192
6.891527442968119e-08 	 224
4.959623170669702e-08 	 469
5.664742537045395e-08 	 234
5.3411306939716476e-08 	 493
4.008628780835531e-08 	 436
5.5970467303150284e-08 	 256
7.094026908641745e-08 	 140
5.408422740033047e-08 	 252
6.873046047349896e-08 	 402
7.126443226405851e-08 	 490
5.9027509215487435e-08 	 454
5.1826867033908786e-08 	 458
6.80243784341218e-08 	 426
6.34732029274439e-08 	 220
5.792624254828159e-08 	 270
6.545717558638801e-08 	 370
4.7446383997958614e-08 	 463
5.8375103883738215e-08 	 246
5.198600536833921e-08 	 496
6.072359624016792e-08 	 81
6.373368256713781e-08 	 404
7.653022911140189e-08 	 498
6.840730145850255e-08 	 482
5.9489687458597086e-08 	 373
6.931139909701084e-08 	 375
7.067781402765819e-08 	 432
7.010522891022895e-08 	 262
5.33244102719161e-08 	 379
5.971762141500708e-08 	 216
6.08983152629989e-08 	 143
9.378053035135386e-08 	 304
6.282963405507491e-08 	 172
6.777778804891027e-08 	 217
5.387692958537697e-08 	 382
5.251250650795642e-08 	 461
7.470418505427757e-08 	 402
5.18846935452955e-08 	 319
7.465098720293495e-08 	 176
5.4605257209528235e-08 	 138
6.067017274859838e-08 	 421
6.678484164522515e-08 	 487
5.659926123415276e-08 	 372
7.114495967824587e-08 	 436
6.919089456034674e-08 	 213
5.494381847387784e-08 	 402
4.406631326258263e-08 	 267
6.099739482047046e-08 	 428
7.349927239494531e-08 	 319
6.658698733949599e-08 	 322
5.495918952996627e-08 	 121
6.49515630137506e-08 	 322
6.757385876480179e-08 	 367
6.043129828819664e-08 	 403
7.443218279944857e-08 	 363
6.780523860592373e-08 	 333
6.847827859047894e-08 	 116
6.189809262149361e-08 	 269
6.987346757778987e-08 	 393
6.9300367511966e-08 	 367
6.024504961899479e-08 	 384
6.435475851080915e-08 	 307
6.654283149201151e-08 	 457
5.4470776955185575e-08 	 373
7.214358495906145e-08 	 290
5.3810717306102206e-08 	 377
7.164658019224342e-08 	 373
7.412932928854473e-08 	 462
7.473838027619258e-08 	 341
6.59236708670327e-08 	 339
7.632358812891376e-08 	 175
7.893946271897183e-08 	 489
1.0233198268176137e-07 	 409
8.499166689828698e-08 	 258
6.694133151496743e-08 	 318
7.473011423219703e-08 	 166
7.162461782911149e-08 	 466
5.9062256930953106e-08 	 147
7.639963594317657e-08 	 334
7.714993787888288e-08 	 434
7.381890384956417e-08 	 418
6.100663712942813e-08 	 158
6.96444319509036e-08 	 398
7.290330375826424e-08 	 323
6.169632373462938e-08 	 225
7.749809456074161e-08 	 345
5.28219350964696e-08 	 199
7.24535118690591e-08 	 334
7.108645605565273e-08 	 490
7.090559851165045e-08 	 317
7.774679925692501e-08 	 375
7.536658167035687e-08 	 206
7.739224206003473e-08 	 175
6.24571401954514e-08 	 249
7.305429814430474e-08 	 427
8.859373628836984e-08 	 242
7.344545082556992e-08 	 337
8.005070869777156e-08 	 187
9.016413738616845e-08 	 203
7.055222835206045e-08 	 371
8.217096020820208e-08 	 496
7.251844321896668e-08 	 394
8.743479128785994e-08 	 232
8.460047719899423e-08 	 91
7.144778107530978e-08 	 345
8.254019618742186e-08 	 294
8.934050509440554e-08 	 123
7.821985475068316e-08 	 110
7.412247558029611e-08 	 106
8.340103568846482e-08 	 498
7.900201438385508e-08 	 142
7.917241714107242e-08 	 390
8.941949787800963e-08 	 490
8.431092874010339e-08 	 308
9.07404551718709e-08 	 145
8.997348214800046e-08 	 389
9.282015507607879e-08 	 125
9.187482572484027e-08 	 160
7.965618764709491e-08 	 274
9.15036155708383e-08 	 496
8.38567923581087e-08 	 146
7.956398554189987e-08 	 147
8.187294766375263e-08 	 296
8.000175945654719e-08 	 462
8.34633607854996e-08 	 203
7.899725059103259e-08 	 240
8.681004346294775e-08 	 434
9.824869195400104e-08 	 476
